ReadDate,GBUsed
4/10/2019,9193
4/9/2019,9184
4/8/2019,9183
4/7/2019,9183
4/6/2019,9184
4/5/2019,9159
4/4/2019,9154
4/3/2019,9154
4/2/2019,9120
4/1/2019,9120
3/31/2019,9120
3/30/2019,9120
3/29/2019,9120
3/28/2019,9120
3/27/2019,9101
3/26/2019,9091
3/25/2019,9091
3/24/2019,9091
3/23/2019,9091
3/22/2019,9066
3/21/2019,9066
3/20/2019,9061
3/19/2019,9057
3/18/2019,9057
3/17/2019,9057
3/16/2019,9057
3/15/2019,9032
3/14/2019,9032
3/13/2019,9018
3/12/2019,9018
3/11/2019,9017
3/10/2019,9017
3/9/2019,9018
3/8/2019,8993
3/7/2019,8978
3/6/2019,8969
3/5/2019,8969
3/4/2019,8989
3/3/2019,8969
3/2/2019,8969
3/1/2019,8944
2/28/2019,8944
2/27/2019,8935
2/26/2019,8930
2/25/2019,8930
2/24/2019,8930
2/23/2019,8930
2/22/2019,8905
2/21/2019,8900
2/20/2019,8900
2/19/2019,8900
2/18/2019,8900
2/17/2019,8900
2/16/2019,8900
2/15/2019,8876
2/14/2019,8876
2/13/2019,8866
2/12/2019,8866
2/11/2019,8875
2/11/2019,8875
2/10/2019,8866
2/9/2019,8866
2/8/2019,8847
2/7/2019,8842
2/6/2019,8822
2/5/2019,8822
2/4/2019,8822
2/3/2019,8822
2/2/2019,8822
2/1/2019,8798
1/31/2019,8788
1/30/2019,8778
1/29/2019,8777
1/28/2019,8777
1/27/2019,8777
1/26/2019,8777
1/25/2019,8753
1/24/2019,8753
1/23/2019,8748
1/22/2019,8748
1/21/2019,8748
1/20/2019,8748
1/19/2019,8748
1/18/2019,8728
1/17/2019,8689
1/16/2019,8685
1/15/2019,8665
1/14/2019,8665
1/13/2019,8665
1/12/2019,8665
